Date,State,Total
2019-11-17,Arizona,116490977.0
2019-11-24,Arizona,114640798.30000001
2019-12-01,Arizona,113225639.06666668
2019-12-08,Arizona,111810479.83333333
2019-12-15,Arizona,110395320.6
2019-12-22,Arizona,117291973.5
2019-12-29,Arizona,108536780.4
2020-01-05,Arizona,118349205.6
2020-01-12,Arizona,123994824.2
2020-01-19,Arizona,110294021.9
2020-01-26,Arizona,109185129.2
2020-02-02,Arizona,115328264.30000001
2020-02-09,Arizona,135907143.5
2020-02-16,Arizona,110562941.7
2020-02-23,Arizona,110993229.1
2020-03-01,Arizona,122929012.85
2020-03-08,Arizona,134864796.6
2020-03-15,Arizona,139557887.4
2020-03-22,Arizona,135979843.39999998
2020-03-29,Arizona,119847336.0
2020-04-05,Arizona,126176636.65
2020-04-12,Arizona,132505937.30000001
2020-04-19,Arizona,125902822.2
2020-04-26,Arizona,127294783.0
2020-05-03,Arizona,109641290.89999999
2020-05-10,Arizona,135058046.6
2020-05-17,Arizona,130942704.6
2020-05-24,Arizona,131535234.89999999
2020-05-31,Arizona,131413795.10000001
2020-06-07,Arizona,132060866.81666668
2020-06-14,Arizona,132707938.53333335
2020-06-21,Arizona,134529099.4
2020-06-28,Arizona,135096231.10000002
2020-07-05,Arizona,136727796.95000002
2020-07-12,Arizona,138359362.8
2020-07-19,Arizona,135991552.6
2020-07-26,Arizona,132190420.9
2020-08-02,Arizona,130087932.55000001
2020-08-09,Arizona,127985444.2
2020-08-16,Arizona,135135900.05
2020-08-23,Arizona,135396922.10000002
2020-08-30,Arizona,135895402.9
2020-09-06,Arizona,111821589.7
2020-09-13,Arizona,136071647.6
2020-09-20,Arizona,130208124.9
2020-09-27,Arizona,127220753.8
2020-10-04,Arizona,131624639.15
2020-10-11,Arizona,136028524.5
2020-10-18,Arizona,130530705.5
2020-10-25,Arizona,125675791.7
2020-11-01,Arizona,126598585.25
2020-11-08,Arizona,127521378.8
2020-11-15,Arizona,128444172.35
2020-11-22,Arizona,126324974.6
2020-11-29,Arizona,119295867.89999999
2020-12-06,Arizona,117037534.8
2020-12-13,Arizona,128381997.19999999
2020-12-20,Arizona,123308775.5
2020-12-27,Arizona,117662825.2
2021-01-03,Arizona,131162678.35
2021-01-10,Arizona,144662531.5
2021-01-17,Arizona,123411182.9
2021-01-24,Arizona,118460351.10000001
2021-01-31,Arizona,119030150.7
2021-02-07,Arizona,144090338.5
2021-02-14,Arizona,123255297.4
2021-02-21,Arizona,122351716.69999999
2021-02-28,Arizona,124760493.7
2021-03-07,Arizona,119728725.19999999
2021-03-14,Arizona,175591665.4
2021-03-21,Arizona,144705320.5
2021-03-28,Arizona,125617567.8
2021-04-04,Arizona,140912771.70000002
2021-04-11,Arizona,155493045.0
2021-04-18,Arizona,134735709.4
2021-04-25,Arizona,139157806.0
2021-05-02,Arizona,147261983.1
2021-05-09,Arizona,155366160.2
2021-05-16,Arizona,167066717.8
2021-05-23,Arizona,146832910.9
2021-05-30,Arizona,149964412.1
2021-06-06,Arizona,153270396.0
2021-06-13,Arizona,152816610.70000002
2021-06-20,Arizona,154949376.2
2021-06-27,Arizona,147305127.3
2021-07-04,Arizona,131536144.65
2021-07-11,Arizona,201120666.9
2021-07-18,Arizona,146199273.8
2021-07-25,Arizona,140495761.29999998
2021-08-01,Arizona,147421388.2
2021-08-08,Arizona,154347015.1
2021-08-15,Arizona,149953473.10000002
2021-08-22,Arizona,146414999.70000002
2021-08-29,Arizona,147911738.1
2021-09-05,Arizona,152933490.9
2021-09-12,Arizona,150725268.7
2021-09-19,Arizona,148517046.5
2021-09-26,Arizona,143876041.6
2021-10-03,Arizona,121976001.2
2021-10-10,Arizona,201963815.2
2021-10-17,Arizona,197141586.79999998
2021-10-24,Arizona,195856139.9
2021-10-31,Arizona,194283831.3
2021-11-07,Arizona,144406721.1
2021-11-14,Arizona,196009266.2
2021-11-21,Arizona,199577574.0
2021-11-28,Arizona,184063173.8
2021-12-05,Arizona,176521649.475
2021-12-12,Arizona,168980125.14999998
2021-12-19,Arizona,191792531.8
2021-12-26,Arizona,187019454.4
2022-01-02,Arizona,198682995.6
2022-01-09,Arizona,210346536.79999998
2022-01-16,Arizona,190506027.8
2022-01-23,Arizona,184460686.79999998
2022-01-30,Arizona,184840307.1
2022-02-06,Arizona,182124830.9
2022-02-13,Arizona,203945794.95
2022-02-20,Arizona,186140485.6
2022-02-27,Arizona,191804855.70000002
2022-03-06,Arizona,216587578.0
2022-03-13,Arizona,214810062.05
2022-03-20,Arizona,203135958.2
2022-03-27,Arizona,204330836.5
2022-04-03,Arizona,218644661.89999998
2022-04-10,Arizona,232958487.29999998
2022-04-17,Arizona,206759626.9
2022-04-24,Arizona,207194455.8
2022-05-01,Arizona,214330458.9
2022-05-08,Arizona,221466462.0
2022-05-15,Arizona,215137302.1
2022-05-22,Arizona,215304100.4
2022-05-29,Arizona,219462134.1
2022-06-05,Arizona,198079404.39999998
2022-06-12,Arizona,212352076.00000003
2022-06-19,Arizona,224705587.29999998
2022-06-26,Arizona,215666630.00000003
2022-07-03,Arizona,220813832.70000002
2022-07-10,Arizona,225961035.4
2022-07-17,Arizona,218623208.29999998
2022-07-24,Arizona,213178650.3
2022-07-31,Arizona,211959850.9
2022-08-07,Arizona,219329549.1
2022-08-14,Arizona,220700930.1
2022-08-21,Arizona,215522849.1
2022-08-28,Arizona,222686060.39999998
2022-09-04,Arizona,187226998.1
2022-09-11,Arizona,218976018.5
2022-09-18,Arizona,218387231.4
2022-09-25,Arizona,211204050.2
2022-10-02,Arizona,215530707.7
2022-10-09,Arizona,219857365.2
2022-10-16,Arizona,211117837.39999998
2022-10-23,Arizona,206019098.1
2022-10-30,Arizona,203716151.29999998
2022-11-06,Arizona,207842451.79999998
2022-11-13,Arizona,211968752.29999998
2022-11-20,Arizona,206468807.0
2022-11-27,Arizona,200179529.7
2022-12-04,Arizona,214569833.5
2022-12-11,Arizona,228960137.29999998
2022-12-18,Arizona,204225386.70000002
2022-12-25,Arizona,206642209.69999996
2023-01-01,Arizona,188408489.6
2023-01-08,Arizona,193858505.1
2023-01-15,Arizona,199308520.6
2023-01-22,Arizona,191351463.50000003
2023-01-29,Arizona,193432651.5
2023-02-05,Arizona,215603137.5
2023-02-12,Arizona,207885912.45
2023-02-19,Arizona,200168687.4
2023-02-26,Arizona,201565059.0
2023-03-05,Arizona,210298711.8
2023-03-12,Arizona,219032364.6
2023-03-19,Arizona,227766017.4
2023-03-26,Arizona,207113291.6
2023-04-02,Arizona,212415973.53333333
2023-04-09,Arizona,217718655.4666667
2023-04-16,Arizona,223021337.40000004
2023-04-23,Arizona,220557322.8
2023-04-30,Arizona,231156458.4
2023-05-07,Arizona,209955958.85000002
2023-05-14,Arizona,213350347.91111115
2023-05-21,Arizona,216744736.97222224
2023-05-28,Arizona,220139126.03333336
2023-06-04,Arizona,223533515.09444445
2023-06-11,Arizona,226927904.15555558
2023-06-18,Arizona,230322293.21666667
2023-06-25,Arizona,233716682.2777778
2023-07-02,Arizona,237111071.33888888
2023-07-09,Arizona,240505460.4
2023-07-16,Arizona,229036367.925
2023-07-23,Arizona,217567275.45
2023-07-30,Arizona,206098182.97499996
2023-08-06,Arizona,194629090.49999997
2023-08-13,Arizona,201573759.33999997
2023-08-20,Arizona,208518428.17999998
2023-08-27,Arizona,215463097.01999998
2023-09-03,Arizona,222407765.86
2023-09-10,Arizona,229352434.70000002
2023-09-17,Arizona,228851268.15833336
2023-09-24,Arizona,228350101.61666667
2023-10-01,Arizona,227848935.07500002
2023-10-08,Arizona,227347768.53333333
2023-10-15,Arizona,226846601.99166667
2023-10-22,Arizona,226345435.45
2023-10-29,Arizona,225844268.90833333
2023-11-05,Arizona,225343102.36666667
2023-11-12,Arizona,224841935.825
2023-11-19,Arizona,224340769.28333333
2023-11-26,Arizona,223839602.74166664
2023-12-03,Arizona,223338436.2
2019-01-13,Arkansas,58049432.2
2019-01-20,Arkansas,58105169.344444446
2019-01-27,Arkansas,58160906.48888889
2019-02-03,Arkansas,58216643.63333333
2019-02-10,Arkansas,58272380.777777776
2019-02-17,Arkansas,58328117.92222223
2019-02-24,Arkansas,58383855.06666667
2019-03-03,Arkansas,58439592.21111111
2019-03-10,Arkansas,58495329.35555556
2019-03-17,Arkansas,58551066.5
2019-03-24,Arkansas,59227893.307692304
2019-03-31,Arkansas,59904720.115384616
2019-04-07,Arkansas,60581546.92307692
2019-04-14,Arkansas,61258373.73076923
2019-04-21,Arkansas,61935200.538461536
2019-04-28,Arkansas,62612027.34615385
2019-05-05,Arkansas,63288854.15384615
2019-05-12,Arkansas,63965680.961538464
2019-05-19,Arkansas,64642507.76923077
2019-05-26,Arkansas,65319334.57692308
2019-06-02,Arkansas,65996161.384615384
2019-06-09,Arkansas,66672988.192307696
2019-06-16,Arkansas,67349815.0
2019-06-23,Arkansas,66433309.48888889
2019-06-30,Arkansas,65516803.97777778
2019-07-07,Arkansas,64600298.46666667
2019-07-14,Arkansas,63683792.95555556
2019-07-21,Arkansas,62767287.44444445
2019-07-28,Arkansas,61850781.93333333
2019-08-04,Arkansas,60934276.42222222
2019-08-11,Arkansas,60017770.91111111
2019-08-18,Arkansas,59101265.4
2019-08-25,Arkansas,59411987.89375
2019-09-01,Arkansas,59722710.3875
2019-09-08,Arkansas,60033432.88125
2019-09-15,Arkansas,60344155.375
2019-09-22,Arkansas,60654877.86875
2019-09-29,Arkansas,60965600.3625
2019-10-06,Arkansas,61276322.85625
2019-10-13,Arkansas,61587045.35
2019-10-20,Arkansas,59248420.7
2019-10-27,Arkansas,57654429.7
2019-11-03,Arkansas,57858039.333333336
2019-11-10,Arkansas,58061648.96666667
2019-11-17,Arkansas,58265258.6
2019-11-24,Arkansas,59690104.199999996
2019-12-01,Arkansas,59138711.86666666
2019-12-08,Arkansas,58587319.53333333
2019-12-15,Arkansas,58035927.199999996
2019-12-22,Arkansas,61147230.4
2019-12-29,Arkansas,58290655.300000004
2020-01-05,Arkansas,61187919.900000006
2020-01-12,Arkansas,61173664.6
2020-01-19,Arkansas,56718755.8
2020-01-26,Arkansas,55036033.800000004
2020-02-02,Arkansas,58093735.4
2020-02-09,Arkansas,70280652.3
2020-02-16,Arkansas,56891695.800000004
2020-02-23,Arkansas,55979415.7
2020-03-01,Arkansas,60849158.75
2020-03-08,Arkansas,65718901.800000004
2020-03-15,Arkansas,69299261.8
2020-03-22,Arkansas,66672577.7
2020-03-29,Arkansas,59930918.1
2020-04-05,Arkansas,63890628.2
2020-04-12,Arkansas,67850338.3
2020-04-19,Arkansas,62510706.4
2020-04-26,Arkansas,63303777.0
2020-05-03,Arkansas,56942259.1
2020-05-10,Arkansas,70100999.05
2020-05-17,Arkansas,67059258.8
2020-05-24,Arkansas,69534675.3
2020-05-31,Arkansas,67420352.5
2020-06-07,Arkansas,67340794.53333333
2020-06-14,Arkansas,67261236.56666666
2020-06-21,Arkansas,70943346.3
2020-06-28,Arkansas,69082980.10000001
2020-07-05,Arkansas,69982932.6
2020-07-12,Arkansas,70882885.1
2020-07-19,Arkansas,71755452.19999999
2020-07-26,Arkansas,70313070.5
2020-08-02,Arkansas,66956260.150000006
2020-08-09,Arkansas,63599449.800000004
2020-08-16,Arkansas,68206920.69999999
2020-08-23,Arkansas,70270226.89999999
2020-08-30,Arkansas,69321236.8
2020-09-06,Arkansas,58021179.800000004
2020-09-13,Arkansas,71111068.55
2020-09-20,Arkansas,68622671.7
2020-09-27,Arkansas,64905092.0
2020-10-04,Arkansas,65815414.150000006
2020-10-11,Arkansas,66725736.300000004
2020-10-18,Arkansas,64996749.3
2020-10-25,Arkansas,62410736.4
2020-11-01,Arkansas,63404816.666666664
2020-11-08,Arkansas,64398896.93333333
2020-11-15,Arkansas,65392977.199999996
2020-11-22,Arkansas,64469134.6
2020-11-29,Arkansas,62518777.7
2020-12-06,Arkansas,60691311.35
2020-12-13,Arkansas,66988966.400000006
2020-12-20,Arkansas,63362784.599999994
2020-12-27,Arkansas,63040187.6
2021-01-03,Arkansas,69801878.55
2021-01-10,Arkansas,76563569.5
2021-01-17,Arkansas,61751788.5
2021-01-24,Arkansas,59692624.3
2021-01-31,Arkansas,60629838.0
2021-02-07,Arkansas,70271403.1
2021-02-14,Arkansas,63052100.0
2021-02-21,Arkansas,56331935.5
2021-02-28,Arkansas,65438139.6
2021-03-07,Arkansas,61067744.9
2021-03-14,Arkansas,89458652.9
2021-03-21,Arkansas,71996986.8
2021-03-28,Arkansas,64565241.0
2021-04-04,Arkansas,68515096.7
2021-04-11,Arkansas,80327966.2
2021-04-18,Arkansas,67525813.3
2021-04-25,Arkansas,67632913.5
2021-05-02,Arkansas,72403112.25
2021-05-09,Arkansas,77173311.0
2021-05-16,Arkansas,82624738.7
2021-05-23,Arkansas,71888897.9
2021-05-30,Arkansas,72688735.7
2021-06-06,Arkansas,73746656.1
2021-06-13,Arkansas,75043823.1
2021-06-20,Arkansas,78781472.0
2021-06-27,Arkansas,74788922.2
2021-07-04,Arkansas,65100128.2
2021-07-11,Arkansas,98227444.3
2021-07-18,Arkansas,77954785.8
2021-07-25,Arkansas,76727707.1
2021-08-01,Arkansas,76758103.3
2021-08-08,Arkansas,76788499.5
2021-08-15,Arkansas,78200291.60000001
2021-08-22,Arkansas,75360901.6
2021-08-29,Arkansas,76041638.5
2021-09-05,Arkansas,71602055.80000001
2021-09-12,Arkansas,73132061.80000001
2021-09-19,Arkansas,74662067.8
2021-09-26,Arkansas,70631842.19999999
2021-10-03,Arkansas,62054714.199999996
2021-10-10,Arkansas,104309748.19999999
2021-10-17,Arkansas,101130187.6
2021-10-24,Arkansas,98315875.9
2021-10-31,Arkansas,96518729.50000001
2021-11-07,Arkansas,72545538.39999999
2021-11-14,Arkansas,99626518.50000001
2021-11-21,Arkansas,100440189.2
2021-11-28,Arkansas,95547889.20000002
2021-12-05,Arkansas,91223231.65
2021-12-12,Arkansas,86898574.1
2021-12-19,Arkansas,99984093.69999999
2021-12-26,Arkansas,99759952.19999999
2022-01-02,Arkansas,101782523.04999998
2022-01-09,Arkansas,103805093.89999999
2022-01-16,Arkansas,98948579.5
2022-01-23,Arkansas,92112220.2
2022-01-30,Arkansas,94644193.20000002
2022-02-06,Arkansas,93380356.69999999
2022-02-13,Arkansas,104919034.55
2022-02-20,Arkansas,90819494.30000001
2022-02-27,Arkansas,99037114.9
2022-03-06,Arkansas,103811547.80000001
2022-03-13,Arkansas,111073003.95
2022-03-20,Arkansas,102381503.10000001
2022-03-27,Arkansas,99464637.10000001
2022-04-03,Arkansas,109203606.19999999
2022-04-10,Arkansas,118942575.29999998
2022-04-17,Arkansas,101927223.64999999
2022-04-24,Arkansas,100996169.10000001
2022-05-01,Arkansas,105026916.35000001
2022-05-08,Arkansas,109057663.60000001
2022-05-15,Arkansas,110749148.4
2022-05-22,Arkansas,110460401.70000002
2022-05-29,Arkansas,109863858.89999999
2022-06-05,Arkansas,99855863.45000002
2022-06-12,Arkansas,104366456.9
2022-06-19,Arkansas,117770997.19999999
2022-06-26,Arkansas,114411031.9
2022-07-03,Arkansas,115279995.60000001
2022-07-10,Arkansas,116148959.30000001
2022-07-17,Arkansas,114762338.9
2022-07-24,Arkansas,114581651.4
2022-07-31,Arkansas,114979801.60000001
2022-08-07,Arkansas,105764202.7
2022-08-14,Arkansas,118150218.69999999
2022-08-21,Arkansas,112180743.0
2022-08-28,Arkansas,113832343.8
2022-09-04,Arkansas,94532466.60000001
2022-09-11,Arkansas,112645109.0
2022-09-18,Arkansas,113416519.2
2022-09-25,Arkansas,110869551.89999999
2022-10-02,Arkansas,111056581.0
2022-10-09,Arkansas,111243610.1
2022-10-16,Arkansas,109648626.3
2022-10-23,Arkansas,105598574.80000001
2022-10-30,Arkansas,102518257.5
2022-11-06,Arkansas,105275500.04999998
2022-11-13,Arkansas,108032742.59999998
2022-11-20,Arkansas,104002356.5
2022-11-27,Arkansas,103751416.3
2022-12-04,Arkansas,107057475.65
2022-12-11,Arkansas,110363535.0
2022-12-18,Arkansas,104855819.60000001
2022-12-25,Arkansas,110014384.19999999
2023-01-01,Arkansas,96531611.8
2023-01-08,Arkansas,99009736.65
2023-01-15,Arkansas,101487861.5
2023-01-22,Arkansas,96226247.7
2023-01-29,Arkansas,98786791.39999999
2023-02-05,Arkansas,109455464.5
2023-02-12,Arkansas,105147756.35
2023-02-19,Arkansas,100840048.19999999
2023-02-26,Arkansas,102483062.80000001
2023-03-05,Arkansas,105583571.00000001
