MAE,RMSE,MAPE,model,state
2148546.14,2913309.95,1.1,Gradient Boosting,South Carolina
517343.96,647807.0,1.85,Gradient Boosting,South Dakota
4617964.72,5386052.54,1.8,Gradient Boosting,Tennessee
7638457.5,10205514.49,0.87,Gradient Boosting,Texas
1137465.94,1603933.32,1.4,Gradient Boosting,Utah
509288.59,576647.78,2.8,Gradient Boosting,Vermont
6155208.6,7129042.93,2.13,Gradient Boosting,Virginia
4800131.25,5851174.35,2.61,Gradient Boosting,Washington
2837942.71,3488667.97,3.74,Gradient Boosting,West Virginia
3021893.8,3993153.0,1.97,Gradient Boosting,Wisconsin
850275.42,1044845.96,4.02,Gradient Boosting,Wyoming
