Date,State,Total,year,month,week,day_of_week,quarter,month_sin,month_cos,week_sin,week_cos,lag_1,lag_7,lag_30,rmean_4,rstd_4,rmean_8,rstd_8,rmean_13,rstd_13,rmean_26,rstd_26,rmean_52,rstd_52,rmin_13,rmax_13,expanding_mean,state_code,is_holiday,pct_wow,pct_mom,pct_yoy
2021-04-11,Maryland,120566973.3,2021,4,14,6,2,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,99821595.10000001,92005609.9,102900774.85,111464039.55000001,17002948.093084674,102030766.8625,15044825.484901771,100954142.66153845,12645926.563554177,98997052.05192307,9286573.213273723,100012410.78365384,7680436.983979955,91850610.5,135011891.4,95479215.66538462,15,0,0.2078245511827128,-0.10698996918133696,0.21957014471717673
2021-04-18,Maryland,99378358.3,2021,4,15,6,2,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,120566973.3,94576325.5,99489149.80000001,107852810.025,10700450.036436308,105620312.2125,15681217.591524022,101498294.23846152,13362336.072234446,99938929.13653848,10177793.931089249,100429848.33942308,8189598.8663684325,91850610.5,135011891.4,95691823.7809322,15,0,-0.17574145240651906,-0.11902214526894095,0.031105682246899802
2021-04-25,Maryland,98801109.39999999,2021,4,16,6,2,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,99378358.3,91957430.8,99204981.0,104496248.52499999,10735128.287249515,106541905.7625,14967160.663483163,101883660.9846154,13210965.017178621,100140509.30576923,10109966.90418272,100487501.75288461,8171063.973615758,91850610.5,135011891.4,95722803.06260505,15,0,-0.005808597665272641,0.005936199066364445,0.05212559281526552
2021-05-02,Maryland,104594446.1,2021,5,17,6,2,0.49999999999999994,-0.8660254037844387,0.8854560256532099,-0.4647231720437685,98801109.39999999,135011891.4,97641575.05,104642009.025,10624860.861088527,107070003.75,14553472.858579028,102371680.77692308,12948283.141071467,100311617.09038462,10045526.868301047,100581634.75288463,8121805.720104558,91850610.5,135011891.4,95748455.61541668,15,0,0.058636352720954354,0.04781381218381253,0.18434924264544028
2021-05-09,Maryland,110387782.8,2021,5,18,6,2,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,104594446.1,112804604.3,96078169.1,105835221.77499999,10160935.818268621,108649630.6625,13311658.48187016,103202849.84615384,12695793.352126887,100680784.44294871,10018701.916272944,100894723.0625,7951639.469819853,91850610.5,135011891.4,95821562.97479339,15,0,0.05538856904946132,-0.08442768547130808,0.050979301932648324
2021-05-16,Maryland,120873098.9,2021,5,19,6,2,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,110387782.8,98218067.39999999,94137273.9,103290424.14999999,5401579.373729816,105571617.08749999,8217236.256654245,103844215.75384617,12842458.006717939,101248011.36346152,10138657.553576011,100997694.64519231,8040457.028494268,91850610.5,135011891.4,95940958.2192623,15,0,0.09498620077366038,0.2162919670610015,0.2264129597334681
2021-05-23,Maryland,109786682.3,2021,5,20,6,2,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,120873098.9,99821595.10000001,94352307.0,108664109.3,9414021.51007276,106580178.91250001,9609091.43829806,106076714.86153847,13103715.58825978,102193758.59807692,10783419.540530767,101426826.60865384,8490595.870110508,91957430.8,135011891.4,96143658.55,15,1,-0.09171947026171601,0.1111887605990789,0.042824150213807366
2021-05-30,Maryland,108404730.3,2021,5,21,6,2,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,109786682.3,120566973.3,94996094.93333334,111410502.52499999,6823540.212723453,108026255.775,9023541.564592589,107444489.66153845,12422881.131961511,102643236.8903846,10849324.912167387,101513527.58557692,8553481.243078746,91957430.8,135011891.4,96253682.93508065,15,0,-0.01258761054663915,0.03642912546577359,0.04876187236245544
2021-06-06,Maryland,110224577.7,2021,6,22,6,2,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,108404730.3,99378358.3,95639882.86666666,112363073.575,5733776.47984778,109099147.675,8397177.4723671,108508213.10769232,11805925.49743887,103067025.35192308,10850963.922340965,101610455.38942307,8603280.500126475,91957430.8,135011891.4,96350891.314,15,0,0.016787527582641015,-0.0014784706772821288,0.08988429353935445
2021-06-13,Maryland,112928438.60000001,2021,6,23,6,2,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,110224577.7,98801109.39999999,96283670.8,112322272.3,5753066.14331269,107806348.225,7070795.584145607,109913378.25384617,10707893.025265988,103747373.21730767,10717964.3143683,101785270.3173077,8685378.016150393,98218067.39999999,135011891.4,96460999.93611112,15,0,0.02453047184593582,-0.06572728235066372,0.14179943956598606
2021-06-20,Maryland,110913678.9,2021,6,24,6,2,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,112928438.60000001,104594446.1,98100246.7,110336107.22500001,1894263.7415261709,109500108.2625,6349659.861150253,108214651.11538461,7732771.940726684,104222156.32884616,10844894.845142955,102054972.62884615,8810990.15205901,98218067.39999999,120873098.9,96590664.8074803,15,0,-0.01784103034609741,0.010265330697583286,0.06643763084520637
2021-06-27,Maryland,112115089.4,2021,6,25,6,2,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,110913678.9,110387782.8,97386230.3,110617856.375,1868947.6829515786,111014179.45,4650922.72361088,108069195.31538463,7656648.403652471,104748213.2173077,10824179.153460454,102187852.88076924,8892683.800926646,98218067.39999999,120873098.9,96702563.35507813,15,0,0.010831941667746703,0.03422691140628209,0.03235662281424756
