Date,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Mexico,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2021-11-28,177133617.3,184063173.8,95547889.20000002,738558959.5,147374438.29999998,79050121.80000001,580412387.6,328540754.40000004,269485167.99999994,192477586.20000002,96761842.8,78440980.19999999,149030289.8,149328484.4,39584633.0,145305604.20000002,156827506.20000002,258449518.5,135947925.5,77581364.5,168366340.5,36955689.5,84566190.8,47449320.5,57153027.099999994,379356773.09999996,301100477.8,313850753.5,124661602.0,95648671.5,314228014.0,22516816.3,159627451.0,24173893.5,220939629.8,753648978.6,70963540.6,16052503.6,246183598.0,158370542.1,60973906.49999999,137384512.1,18555035.8
2021-12-05,169582830.375,176521649.475,91223231.65,708874428.575,142756428.7,74354469.2,554284922.1,311557949.125,257470572.22499996,182521854.45,92248041.05,73877480.425,141861083.525,144712630.95,38002875.599999994,136233550.3,150090839.55,242775982.45,128498052.35,80072249.3,159918098.575,37952362.025,81603046.375,45449420.975,55753490.724999994,358565589.9499999,286061410.0,300427937.25,118882429.425,93094008.625,300052576.65,21516688.924999997,153224502.3,23241905.275,211698102.225,727639903.875,67980603.27499999,15135300.899999999,232792029.65,153756875.45,59143365.9,129523957.75,17760664.15
2021-12-12,162032043.45,168980125.14999998,86898574.1,679189897.65,138138419.1,69658816.6,528157456.6,294575143.85,245455976.45000002,172566122.7,87734239.3,69313980.65,134691877.25,140096777.5,36421118.199999996,127161496.4,143354172.9,227102446.39999998,121048179.2,82563134.1,151469856.64999998,38949034.55,78639901.95,43449521.45,54353954.349999994,337774406.79999995,271022342.2,287005121.0,113103256.85,90539345.75,285877139.29999995,20516561.549999997,146821553.6,22309917.05,202456574.64999998,701630829.1500001,64997665.949999996,14218098.2,219400461.3,149143208.8,57312825.300000004,121663403.4,16966292.5
2021-12-19,189045386.7,191792531.8,99984093.69999999,774968961.5,163200758.70000005,84685485.7,657419273.2,352359919.0,296964593.50000006,208021927.00000003,105762342.4,84460875.80000001,160380710.10000002,161572466.20000002,43594914.10000001,152395982.70000002,170030426.49999997,280540700.4,150556757.4,79507132.3,183283804.6,39207615.599999994,87815423.0,52082492.7,64698894.4,399508747.6,324501073.0,350739795.4,128793170.49999999,105713197.10000001,342758305.7,24223428.1,171199262.20000002,26628312.0,237893228.1,818184291.3000001,79281414.5,17427391.6,262572652.70000002,177080923.29999998,65395193.8,148776920.9,19943648.499999996
2021-12-26,183210806.39999998,187019454.4,99759952.19999999,749275823.4000001,156967757.4,84664547.69999999,637666451.5,337901544.6,285742747.7,202810431.9,100465036.8,83443647.2,154868195.1,152224239.6,41576613.300000004,154213595.4,166617350.5,272997721.3,143077720.50000003,80883670.0,180054178.20000002,55591359.699999996,85598096.29999998,50332518.2,61161254.3,394759409.20000005,311816527.49999994,329634201.40000004,128582523.99999999,100450342.1,334393037.7,24309916.700000003,166981961.0,25269496.3,232430155.9,790855957.2,77692275.19999999,17740467.9,252987751.2,166593895.7,62894154.0,145243900.70000002,19421554.8
2022-01-02,195593454.64999998,198682995.6,101782523.04999998,785851442.8000001,161816410.0,84615107.3,669856243.4,362138218.55,294904598.1,207627436.60000002,107458435.4,85220750.0,163266173.14999998,163217758.75,43141558.900000006,155587527.85000002,166820236.85000002,277792308.15,146403498.50000003,103741924.0,184125372.14999998,58176613.55,92985738.69999999,51171390.95,64838394.949999996,402077653.0500001,335461696.45,346569641.95000005,132872895.69999999,106418665.35,343516717.65,24708200.650000002,178997876.4,26515122.55,244005226.15,820511921.95,79610207.94999999,17662422.75,271857549.55,175938137.09999996,67878704.0,148870048.05,20259193.65
2022-01-09,207976102.9,210346536.79999998,103805093.89999999,822427062.2,166665062.60000002,84565666.9,702046035.3,386374892.5,304066448.5,212444441.30000004,114451834.0,86997852.79999998,171664151.2,174211277.9,44706504.5,156961460.3,167023123.20000002,282586895.0,149729276.50000003,126600178.0,188196566.09999996,60761867.4,100373381.1,52010263.7,68515535.6,409395896.90000004,359106865.40000004,363505082.5,137163267.4,112386988.60000001,352640397.59999996,25106484.6,191013791.8,27760748.8,255580296.4,850167886.7,81528140.7,17584377.6,290727347.90000004,185282378.49999997,72863254.0,152496195.39999998,21096832.5
2022-01-16,180918293.4,190506027.8,98948579.5,755673420.5,156254016.4,79998410.3,632875897.6999999,347151522.7,282114330.90000004,200986654.0,99577445.1,78883181.00000001,156262856.2,156687247.5,43350787.1,147214262.3,164439406.4,267939091.2,138917296.8,113551276.89999999,172225849.70000002,53150979.300000004,87498305.5,50778007.599999994,61749482.800000004,391697962.7,317739309.0,333776107.90000004,130810459.7,99784455.19999999,333199494.9,22890137.399999995,167542161.4,25161451.300000004,232413351.0,773239165.0999999,72737608.20000002,16914501.5,250857872.1,167157716.6,65977530.0,138091774.1,19293883.799999997
2022-01-23,177754218.7,184460686.79999998,92112220.2,750604359.6,150034320.4,75730959.9,621955678.9,327200418.40000004,270482373.0,190665257.29999998,97405832.9,75806888.1,144556708.5,149990485.8,39822332.0,141914536.8,153540342.1,260937457.79999998,137356427.50000003,109174947.5,162857014.20000002,51763721.6,85908588.1,47083638.300000004,60744229.9,363372584.3,303277161.7,312961229.4,123087657.8,98759328.39999999,303324799.90000004,22572808.9,157956137.79999998,24097439.299999997,215309648.49999997,757025431.4000001,70837610.80000001,16263821.500000002,240630000.29999998,164346105.6,59321561.7,138088476.5,18742366.0
2022-01-30,179630072.6,184840307.1,94644193.20000002,732224035.4000001,152646637.4,79225631.39999999,628041475.9000001,336182789.3,278716822.09999996,194169760.09999996,98044269.5,78220589.9,147313253.0,149359133.5,41230768.800000004,144339584.9,161443006.2,258918926.79999998,137044186.7,109188689.19999999,167447989.5,52701275.599999994,84537713.6,49473196.5,60361172.9,373188823.90000004,305642940.4,325142325.4,126661785.39999999,97891572.10000001,315496929.40000004,23319591.9,159023663.2,24745497.400000002,219249546.20000002,765830589.8000001,73468047.5,16366357.700000001,246332113.3,164024826.6,60682205.8,139017541.1,19087434.900000002
